gene_id,R16b,T_M2,T_M4C,T_M5,T_M7,T_R11B,T_R15B,T_R9D
plut2.m8.27710,683,2568,2471,1740,2319,867,724,915
jamg1.TU.Sc0000218.58,2,0,0,0,0,0,0,0
jamg1.TU.Sc0000105.28,17,40,0,6,13,0,2,16
jamg1.TU.Sc0000034.96,1,7,38,10,1,0,0,0
jamg1.TU.Sc0000034.90,8,0,2,0,3,0,19,4
plut2.m8.31624,0,0,0,0,0,0,0,0
plut2.m8.23900,48,281,157,99,382,36,91,132
plut2.m8.31627,112,846,319,114,462,273,133,152
plut2.m8.31620,10,0,0,0,2,7,27,15
plut2.m8.31621,0,45,22,68,112,28,105,357
jamg1.TU.Sc0000144.52,138,494,549,305,685,71,206,114
plut2.m8.31622,0,0,0,0,0,0,0,0
plut2.m8.23905,1204,1186,1143,855,1582,670,1295,636
jamg1.TU.Sc0000146.56,1389,88,415,36,637,317,2103,85
plut2.m8.3499,5658,7622,4257,1863,8761,3278,5991,5200
plut2.m8.3498,2801,7589,18532,3984,19366,3004,8261,3111
plut2.m8.3495,2372,2807,2337,931,4169,1399,1889,1450
plut2.m8.3494,990,4935,4273,1614,6595,1259,2444,2343
plut2.m8.3497,259,1147,796,608,1148,169,232,308
plut2.m8.3496,17,65,0,22,66,26,7,0
plut2.m8.3491,236,497,338,342,991,215,893,309
plut2.m8.3490,2377,2490,1708,1121,3903,2043,4113,1725
plut2.m8.3493,1241,5196,2936,1818,5482,1488,2892,1754
plut2.m8.3492,4268,7542,5175,6283,8150,2359,3097,1589
plut2.m8.17888,2039,8340,2817,2486,9621,1820,3450,1578
plut2.m8.24836,13863,12036,6349,5239,18794,8153,12582,6788
plut2.m8.8865,0,0,0,0,0,0,0,0
plut2.m8.8864,907,738,431,385,569,1031,732,623
plut2.m8.8867,19671,55232,28674,26298,77275,28019,43516,12411
plut2.m8.5898,4678,6208,4658,2280,4256,3779,4592,2906
plut2.m8.8861,470,733,238,419,462,433,604,262
plut2.m8.8860,371,981,1023,623,1638,313,608,319
plut2.m8.8863,3902,7310,4157,2574,7891,2587,4197,2918
plut2.m8.8862,1597,4994,7349,2611,6694,1630,2079,2168
plut2.m8.5893,982,596,555,105,829,668,1071,724
plut2.m8.5892,5138,8380,10312,4451,10057,4273,8547,3884
plut2.m8.5891,1604,7302,8558,5011,4780,1508,3405,1665
plut2.m8.5890,3497,10087,50904,28714,54034,9057,26583,3856
plut2.m8.5897,1234,2752,1121,566,1430,1474,1033,619
