gene_id,R16b,T_M2,T_M4C,T_M5,T_M7,T_R11B,T_R15B,T_R9D
plut2.m8.7527,17,13,26,8,17,0,0,7
plut2.m8.7526,1926,2612,1782,1096,3013,2078,1960,1419
plut2.m8.7521,0,10,14,0,0,0,0,15
plut2.m8.7520,71,64,94,43,94,62,25,26
plut2.m8.7523,6713,10351,18618,5575,10798,5367,8512,5715
plut2.m8.7522,4,10,6,0,3,0,15,20
plut2.m8.7529,7,22,0,11,12,13,45,0
plut2.m8.7528,64,91,103,17,70,4,133,52
plut2.m8.13310,45089,32392,5307,10542,35008,22333,15586,2057
plut2.m8.13311,518,1488,988,733,1415,378,510,216
plut2.m8.13313,794,1918,3086,746,2221,1023,983,565
plut2.m8.13314,6442,17068,17171,10050,28238,8271,11972,6849
plut2.m8.13315,4673,8804,2372,2772,9622,2674,2896,2176
plut2.m8.13316,2103,7484,8114,2720,9293,2252,3966,1996
plut2.m8.13317,318,1076,453,844,1612,505,1516,751
plut2.m8.13318,104,416,866,272,864,332,344,91
plut2.m8.13319,2374,5743,8813,2345,10178,2287,3348,2173
plut2.m8.9585,7185,9663,12121,3946,10768,5820,7029,3397
plut2.m8.9584,41,158,243,89,140,29,72,15
plut2.m8.9587,1036,1410,660,416,1440,546,923,325
plut2.m8.9586,1794,5996,9105,4868,7967,2249,1838,1148
plut2.m8.9581,0,81,162,149,205,0,153,14
plut2.m8.9580,17,188,83,116,0,33,39,21
plut2.m8.9583,80,521,423,192,404,42,249,107
plut2.m8.9582,0,101,81,40,0,0,0,32
plut2.m8.9589,3907,6404,8971,3775,8554,3946,4690,3577
plut2.m8.9588,182,709,248,220,265,76,156,108
plut2.m8.30590,186,1079,741,219,638,834,918,184
jamg1.TU.Sc0000013.133,19178,14563,14798,12190,21916,17053,22499,7583
plut2.m8.4698,463,882,603,213,953,151,284,107
plut2.m8.4699,0,9,6,0,6,0,0,5
plut2.m8.4696,1448,6618,11567,3904,14843,1675,4733,3388
plut2.m8.4697,462,392,204,207,537,104,388,422
jamg1.TU.Sc0000013.139,0,571,244,244,239,111,0,90
plut2.m8.4695,151,1198,961,1141,2074,0,0,224
plut2.m8.4692,447,1018,818,309,1154,612,505,507
plut2.m8.4693,76,267,178,115,326,73,191,22
plut2.m8.4690,9905,25005,22329,12923,21832,11068,21455,7382
plut2.m8.21831,6505,8231,5793,2335,7186,4655,4946,3551
plut2.m8.8188,118,1005,608,315,1043,122,250,146
plut2.m8.8189,25585,15334,16249,8383,25497,14879,23560,12372
plut2.m8.8186,0,0,0,0,0,0,0,0
plut2.m8.8187,0,0,0,0,0,0,0,0
plut2.m8.8185,0,0,0,0,0,0,0,0
plut2.m8.8182,21,34,46,15,55,0,0,0
plut2.m8.8180,42,9,25,0,20,17,12,0
plut2.m8.8181,591,1159,953,310,1286,369,860,433
plut2.m8.31242,438,1067,249,279,406,36,167,189
plut2.m8.6696,0,0,0,0,0,0,0,5
plut2.m8.6690,0,0,0,0,0,0,0,0
plut2.m8.6691,10,178,73,180,292,356,45,60
plut2.m8.6692,0,0,0,0,0,0,0,0
plut2.m8.6698,0,22,0,0,37,0,251,0
plut2.m8.6699,4,6,31,12,11,7,39,0
plut2.m8.26779,826,1702,295,497,1298,205,950,275
jamg1.TU.Sc0000023.3,0,2,0,0,0,1,1,0
jamg1.TU.Sc0000581.3,25,112,418,45,91,33,115,24
plut2.m8.8235,0,0,17,22,278,0,143,0
plut2.m8.8236,267,326,411,478,1171,18,68,262
plut2.m8.8237,21,84,96,117,213,28,29,116
plut2.m8.8230,661,1062,900,499,1621,488,933,538
plut2.m8.8231,0,0,0,28,56,0,0,0
plut2.m8.8232,212,773,371,403,651,179,316,307
plut2.m8.8233,558,359,364,352,735,1082,1243,905
plut2.m8.8238,48,3,5,13,21,0,97,0
plut2.m8.8239,904,1672,853,533,1579,729,720,590
plut2.m8.6342,526,1040,180,318,1004,196,382,215
plut2.m8.6343,55,199,71,118,60,22,98,32
plut2.m8.10159,355,392,120,119,515,233,395,243
plut2.m8.10158,380,344,127,175,645,383,532,178
plut2.m8.6346,25,60,0,8,4,0,0,0
plut2.m8.6347,1184,6421,11630,3798,5995,1531,2671,780
plut2.m8.6344,288,1016,939,475,797,332,752,457
plut2.m8.6345,21909,37725,30323,13466,45521,17207,28788,14953
plut2.m8.10153,11,8,8,53,14,0,22,5
plut2.m8.10152,11210,23891,27655,12940,30435,7568,16368,7796
plut2.m8.6348,4228,8918,13073,4453,9567,8055,15357,9391
plut2.m8.10150,498,1070,584,508,1442,419,736,653
plut2.m8.10157,4,0,7,64,0,0,21,4
plut2.m8.10156,1702,2685,700,765,3244,973,2257,997
plut2.m8.10154,0,27,10,7,15,0,7,16
plut2.m8.12946,3836,6462,6164,2908,7037,2659,2370,2207
plut2.m8.12947,96,360,120,223,678,292,589,273
plut2.m8.12944,84,244,126,117,697,201,180,212
plut2.m8.12945,2037,4239,3816,1841,8848,2028,1981,1385
plut2.m8.12942,0,0,0,0,0,0,0,0
plut2.m8.12943,4450,13433,11544,5991,15797,3932,5666,3212
plut2.m8.26634,567,1402,1682,866,2320,450,778,268
plut2.m8.12941,133,326,275,144,375,96,133,98
plut2.m8.12949,1427,5036,4612,2262,6727,713,1409,981
plut2.m8.17823,0,21,66,0,9,0,0,0
plut2.m8.26633,0,0,0,0,0,0,0,0
plut2.m8.32376,5530,6474,4873,2906,9928,5876,10492,3512
plut2.m8.32375,1172,1540,2015,493,2083,1235,1194,1233
plut2.m8.32374,8,0,0,0,0,0,0,49
plut2.m8.32373,0,0,0,0,0,0,0,0
plut2.m8.32372,377,653,1000,291,1115,225,391,492
plut2.m8.32370,116,0,167,39,3,190,369,82
plut2.m8.32379,1730,2800,1567,1108,3429,1417,1881,1489
plut2.m8.32378,2015,6414,4611,2046,8138,3083,4648,2065
plut2.m8.28909,7243,10017,12591,5802,17782,5561,9355,5750
plut2.m8.28908,77,44,0,0,26,100,0,38
plut2.m8.28903,3122,7459,5590,3029,8061,3307,8094,3784
plut2.m8.28902,305,1892,537,220,1210,183,224,320
plut2.m8.28901,3872,4946,5568,3131,6581,2934,6845,1804
plut2.m8.28900,363,2055,3537,1242,3121,791,734,809
plut2.m8.28907,114,476,449,195,577,84,633,208
plut2.m8.28906,67747,51158,171003,23007,43519,97260,125804,54147
plut2.m8.28905,599,1703,1139,801,1887,913,2277,676
plut2.m8.28904,0,0,0,0,0,0,0,12
jamg1.TU.xpSc0007078.13,0,0,0,0,0,0,0,0
jamg1.TU.xpSc0007078.17,0,0,0,0,0,1,0,2
plut2.m8.11208,1471,3262,3733,1666,3010,1063,2183,1108
plut2.m8.11209,0,0,0,0,0,27,0,0
plut2.m8.11200,15,107,29,6,19,47,338,13
plut2.m8.11201,0,0,0,0,0,0,0,0
plut2.m8.11202,31,40,5,18,68,2,54,23
plut2.m8.11203,1190,2534,1344,1449,3379,1718,1736,811
plut2.m8.11204,341,606,238,250,472,131,406,256
plut2.m8.11205,4863,19384,17644,10976,26025,5361,8057,2831
plut2.m8.11206,605,4731,1657,1667,5111,541,944,848
plut2.m8.11207,1226,2543,1195,1625,2378,755,4214,1609
jamg1.TU.Sc0000015.63,23,35,9,0,0,0,0,0
jamg1.TU.Sc0000015.60,0,2,1,3,3,2,0,0
jamg1.TU.Sc0000015.67,757,1185,913,687,2893,354,236,104
jamg1.TU.Sc0000015.65,285,218,364,280,118,142,306,100
jamg1.TU.Sc0000013.20,72,328,464,146,562,504,465,250
jamg1.TU.Sc0000013.22,3,333,23,60,302,0,15,0
jamg1.TU.Sc0000013.25,0,40,9,8,26,0,0,0
jamg1.TU.Sc0000117.36,551,64,113,91,268,37,195,86
plut2.m8.5906,562,874,2380,698,1624,325,287,270
jamg1.TU.Sc0000117.30,1156,2639,1744,1807,3470,2598,2206,1410
plut2.m8.29058,176,436,232,262,584,89,1203,837
plut2.m8.29059,98,94,27,56,37,0,150,63
plut2.m8.29056,0,0,0,0,0,0,0,0
plut2.m8.29057,520,315,50,697,346,24,2162,8
plut2.m8.29054,477,561,960,239,483,242,347,221
plut2.m8.29055,3670,7072,17611,4785,6285,1921,3255,1812
plut2.m8.29052,549,1353,5440,1304,1942,1168,5633,501
plut2.m8.29053,7659,10908,47028,7513,10694,8415,5313,2393
plut2.m8.29050,10565,6758,22377,3225,5844,1761,1014,218
plut2.m8.29051,211,669,5684,367,1016,295,659,303
jamg1.TU.Sc0000137.22,928,2875,2164,973,3049,982,2514,770
plut2.m8.20784,0,0,0,0,0,0,0,0
plut2.m8.19322,326,864,402,291,748,426,541,566
plut2.m8.20860,0,0,2,0,0,0,0,0
plut2.m8.20861,2,0,0,0,0,0,0,0
plut2.m8.20862,0,0,0,0,0,0,0,0
plut2.m8.20864,0,0,0,0,0,0,0,0
jamg1.TU.Sc0000314.29,24,54,84,41,67,4,24,10
plut2.m8.20866,0,0,0,0,0,0,0,0
plut2.m8.20867,0,0,0,0,0,0,0,0
plut2.m8.20868,350,63,44,50,42,249,154,54
plut2.m8.20869,17,0,0,0,0,0,2,0
plut2.m8.10638,110,407,321,413,428,25,321,141
plut2.m8.10639,144,419,306,171,375,221,260,177
plut2.m8.10636,11164,9178,2076,2363,13323,6004,9307,4957
plut2.m8.10637,619,893,234,253,1091,0,1050,381
plut2.m8.10634,3310,3616,1863,1995,6798,5495,3513,5594
plut2.m8.10635,102,66,44,251,86,98,86,38
plut2.m8.10632,2504,3764,4026,1559,6174,1386,2007,1335
plut2.m8.10633,1337,2747,3355,1177,3077,822,752,516
plut2.m8.10630,0,0,0,0,0,0,0,0
plut2.m8.10631,3993,1893,1118,883,4691,2536,8908,3048
jamg1.TU.Sc0000270.13,0,0,0,0,0,0,0,0
plut2.m8.12168,0,0,0,11,0,0,0,0
plut2.m8.12169,246,1790,1710,994,2160,277,245,231
plut2.m8.12160,1564,2515,5377,1160,4181,1077,2178,668
plut2.m8.12161,7268,8110,4249,2598,8866,5279,6238,1916
plut2.m8.12162,687,762,1184,343,941,849,2115,852
plut2.m8.12163,26,51,7,29,39,0,146,35
plut2.m8.12164,318,2216,1469,507,574,447,453,551
plut2.m8.12165,31,3,2,0,8,4,40,8
plut2.m8.12166,4,2,0,2,0,0,0,2
plut2.m8.12167,10,7,2,0,9,2,12,5
jamg1.TU.xfSc0001245.1,76,62,60,85,34,39,997,182
jamg1.TU.xfSc0000015.26,32,189,296,139,213,110,134,26
plut2.m8.2129,1680,3055,679,837,2319,429,808,482
plut2.m8.27843,0,0,0,0,0,0,0,0
plut2.m8.2123,711,834,108,427,868,361,2124,305
plut2.m8.27841,0,0,0,0,0,0,0,0
plut2.m8.2121,287,146,133,65,143,106,249,107
plut2.m8.2127,4931,7981,1979,3494,9310,2619,10303,2761
plut2.m8.2124,706,189,67,33,251,206,267,293
plut2.m8.2125,523,736,224,526,847,357,1480,324
plut2.m8.14647,1693,858,388,98,1080,1343,216,64
plut2.m8.14646,2831,2398,1290,1577,4212,2868,2344,1524
plut2.m8.14644,1962,3500,3619,2711,6388,1849,3788,2105
plut2.m8.14643,0,0,0,0,0,0,0,0
plut2.m8.14640,64,205,169,55,187,119,140,86
plut2.m8.14649,3827,6585,7208,2805,9684,3992,6567,5003
plut2.m8.14648,100034,114194,66422,54441,156569,94014,105030,49378
plut2.m8.2691,1146,2949,4234,2173,5028,1476,2337,887
plut2.m8.2692,514,497,238,227,421,385,318,211
plut2.m8.2693,1,1,0,3,8,9,1,2
plut2.m8.2694,5392,5139,2109,768,4552,2337,3335,1485
plut2.m8.2695,661,14,56,8,30,0,0,0
plut2.m8.2696,150,615,493,497,594,192,221,126
jamg1.TU.Sc0000210.51,315,1021,1438,86,1180,630,1708,744
plut2.m8.2698,255,165,208,163,157,51,294,134
plut2.m8.2699,253,500,849,521,1278,279,285,123
jamg1.TU.Sc0000015.120,0,51,199,55,79,0,3,0
plut2.m8.23089,27,23,63,58,64,40,49,23
plut2.m8.23088,0,4,0,0,0,0,0,0
plut2.m8.25993,0,29,13,45,53,39,11,122
plut2.m8.25992,0,0,0,0,0,0,0,0
plut2.m8.25991,13,0,0,0,25,0,0,0
plut2.m8.25990,6,11,5,21,18,11,88,14
plut2.m8.25997,0,0,0,3,0,0,0,0
plut2.m8.25996,0,0,0,0,0,0,0,0
plut2.m8.25995,2973,9854,6231,5018,13925,2831,4037,3228
plut2.m8.25994,207,174,92,150,59,206,115,524
plut2.m8.19334,140,1097,763,323,1042,633,1202,142
plut2.m8.5474,4,16,0,6,9,0,0,7
plut2.m8.19336,397,1393,1421,957,1666,336,544,517
plut2.m8.5476,0,0,1,5,15,0,0,0
plut2.m8.19330,128,3039,2885,241,1885,575,1575,955
plut2.m8.5470,0,444,475,292,438,252,0,438
plut2.m8.19332,422,2303,1744,1778,3136,709,519,492
plut2.m8.19333,8973,9351,8056,42,234,10336,4375,8838
plut2.m8.26710,865,1398,1721,263,1563,1729,1339,1739
plut2.m8.26711,110,166,100,65,133,158,363,137
plut2.m8.26712,0,0,0,0,0,0,0,0
plut2.m8.26713,57,993,213,74,113,0,36,33
plut2.m8.5479,0,0,0,0,6,0,0,0
plut2.m8.19339,2082,4536,3936,1636,4743,1165,2342,1106
plut2.m8.26716,794,2724,2746,1071,3311,734,1607,582
plut2.m8.26717,1266,4143,4539,1590,5616,1636,2240,1188
plut2.m8.22416,0,0,0,0,0,0,0,0
plut2.m8.22414,11,34,14,2,4,17,22,4
plut2.m8.22412,10,13,6,7,0,0,0,0
plut2.m8.22411,7,63,18,8,9,19,64,14
jamg1.TU.Sc0000132.11,4,8,2,8,5,17,8,17
jamg1.TU.Sc0000132.10,0,10,3,0,2,11,9,0
plut2.m8.22419,13,44,67,6,23,0,131,9
plut2.m8.22418,0,11,14,17,30,0,7,0
plut2.m8.24712,4,28,57,10,25,10,11,11
plut2.m8.24713,166,667,198,6,9,99,1195,49
plut2.m8.24710,25,0,0,30,34,50,206,34
plut2.m8.24711,14,0,0,0,0,12,96,0
plut2.m8.24716,0,0,0,0,0,0,0,0
plut2.m8.24717,314,542,272,525,700,1421,1402,454
plut2.m8.24714,40,40,0,0,21,94,184,0
plut2.m8.24718,0,0,28,0,11,0,0,1
plut2.m8.24719,324,599,104,423,877,888,2001,473
jamg1.TU.Sc0000066.55,8,6,6,0,7,8,43,16
plut2.m8.330,94,87,0,0,0,0,0,0
plut2.m8.331,1141,2338,2491,703,1930,889,1088,496
plut2.m8.332,552,2491,7862,2894,5045,958,2478,691
plut2.m8.17699,0,4,0,0,0,0,0,0
plut2.m8.17698,5,0,0,0,0,0,4,2
plut2.m8.336,156,520,3503,1148,275,319,69,391
plut2.m8.337,97,385,212,220,390,29,91,96
plut2.m8.17695,0,0,0,0,5,0,0,0
plut2.m8.339,332,736,336,109,992,222,375,162
plut2.m8.17697,0,0,0,0,0,0,0,0
plut2.m8.17696,16,0,0,0,0,0,0,0
plut2.m8.17691,12035,21641,38529,9327,23121,8228,15498,7716
plut2.m8.17690,1216,8283,14814,3959,8690,1341,2070,1229
plut2.m8.17693,4,0,0,0,0,1,0,0
plut2.m8.17692,11,47,771,132,83,0,112,0
plut2.m8.19598,164,49,64,742,43,524,686,141
plut2.m8.19599,276,97,207,1314,84,654,1183,242
jamg1.TU.xfSc0000101.31,0,0,0,0,8,0,0,0
plut2.m8.19590,1140,577,1833,2357,249,2946,4415,1596
plut2.m8.19591,52,54,234,392,51,257,442,109
plut2.m8.19592,2431,4587,20438,3193,5223,3937,5658,2573
plut2.m8.19593,716,1094,1107,570,1879,373,1223,223
plut2.m8.19594,10,6,20,48,4,32,62,15
plut2.m8.19595,9661,20780,21071,9635,21622,5127,17231,8871
plut2.m8.19596,120,22,122,546,27,578,544,129
plut2.m8.19597,171,90,426,796,30,636,1190,172
plut2.m8.21294,1,0,0,0,0,0,0,0
plut2.m8.21295,0,0,0,0,0,0,0,0
plut2.m8.21296,0,0,0,0,0,0,0,0
plut2.m8.21297,570,1557,5438,744,1692,214,489,251
plut2.m8.21290,1115,1467,1489,746,1721,788,2277,893
plut2.m8.21291,5021,7665,9921,3636,31443,3732,3604,2099
plut2.m8.21292,0,0,0,5,0,0,0,5
plut2.m8.21293,0,0,0,0,0,0,0,0
plut2.m8.21298,4400,8663,11964,3431,9773,3330,4759,4298
plut2.m8.21299,1280,1171,1974,446,1272,771,1133,1143
jamg1.TU.Sc0000026.106,88,3837,54,42,198,65,149,71
plut2.m8.18333,2416,2720,2713,962,4950,2912,4680,3494
plut2.m8.2677,335,740,731,125,523,360,569,251
plut2.m8.2674,416,2267,2343,1205,3784,708,1983,755
plut2.m8.18330,1347,5751,5619,1418,3999,1138,1873,1306
plut2.m8.18336,634,1899,1041,720,2052,508,718,520
plut2.m8.2670,8,62,37,0,47,2,0,7
plut2.m8.2671,0,0,0,0,0,0,0,0
plut2.m8.24475,37454,16046,63,4424,763,7019,40693,304
plut2.m8.21878,0,0,0,0,0,0,0,0
plut2.m8.30550,0,0,0,0,0,0,0,0
plut2.m8.30553,0,0,0,0,0,0,0,0
plut2.m8.30552,0,0,0,0,0,0,0,0
plut2.m8.30555,380,546,390,157,608,392,766,494
plut2.m8.30554,0,0,0,0,0,0,0,0
plut2.m8.30557,2180,949,354,525,1003,466,2299,689
plut2.m8.30556,3488,5941,1767,1585,7026,3250,2857,1593
plut2.m8.21870,0,0,0,0,0,0,0,0
plut2.m8.30558,52,206,183,52,186,111,194,93
plut2.m8.21873,0,0,0,0,0,0,0,0
plut2.m8.21874,7,0,0,2,0,0,0,0
plut2.m8.21876,6,18,11,18,6,26,60,21
jamg1.TU.Sc0000554.3,0,13,2,19,20,3,0,2
jamg1.TU.Sc0000554.2,0,82,5,47,77,12,0,6
jamg1.TU.Sc0000554.1,216,1141,757,368,1286,305,304,279
plut2.m8.32412,1,221,201,9,54,1,1,122
plut2.m8.32413,7,0,143,61,127,16,36,38
jamg1.TU.Sc0000351.12,0,0,0,0,14,0,0,0
plut2.m8.1571,89,446,573,1232,669,463,404,121
plut2.m8.1572,14863,29013,22167,15062,42535,8815,12670,6895
plut2.m8.1573,952,498,959,1182,1015,1029,1490,685
plut2.m8.1574,1,0,0,0,0,0,3,2
plut2.m8.1575,1746,2659,1629,537,3514,1392,2048,1687
plut2.m8.1576,473,1121,231,364,1250,220,295,407
jamg1.TU.Sc0000351.15,0,0,0,0,0,0,0,0
plut2.m8.1578,0,0,0,0,0,0,0,2
plut2.m8.1579,5137,4139,2023,929,6064,3365,2578,1589
jamg1.TU.Sc0000157.54,0,0,0,0,0,0,0,0
plut2.m8.32532,2825,1569,1917,442,1876,946,1859,2104
plut2.m8.32534,95,2266,1250,357,1044,197,216,87
plut2.m8.33367,27,42,23,299,215,671,84,99
plut2.m8.28504,11140,3308,1948,3366,4034,7017,11921,4554
jamg1.TU.Sc0000317.37,1,15,16,0,20,4,26,5
plut2.m8.26566,0,0,32,6,0,0,0,0
plut2.m8.26565,0,16,73,11,0,0,0,47
plut2.m8.26564,0,4,2,1,1,1,1,1
plut2.m8.31203,26,45,42,219,5,56,65,0
jamg1.TU.Sc0000152.40,265,872,552,373,764,310,523,266
jamg1.TU.Sc0000152.41,4,2,0,9,4,0,18,5
plut2.m8.27432,3477,3219,6046,2694,8020,4948,8563,10145
plut2.m8.27433,19,81,128,75,71,30,98,35
plut2.m8.27430,1498,812,483,812,2566,806,1609,570
plut2.m8.28801,0,0,0,0,0,0,0,0
plut2.m8.27437,612,904,1244,388,1219,552,938,584
plut2.m8.27434,159,340,74,50,326,55,77,52
plut2.m8.27435,2053,1232,3707,1934,4526,2078,3715,4175
plut2.m8.27438,0,3,0,4,0,0,0,1
plut2.m8.27439,425,356,214,127,423,180,175,366
jamg1.TU.Sc0000308.50,0,13,13,0,0,0,0,0
plut2.m8.25030,0,0,0,0,0,0,0,0
plut2.m8.6108,136,571,335,261,630,106,189,158
plut2.m8.6109,0,5,0,0,0,0,0,0
plut2.m8.22023,917,167,358,6,251,925,2100,560
plut2.m8.6104,2550,5570,3843,3761,7372,1463,3365,1509
plut2.m8.6105,0,7,6,0,14,0,0,32
plut2.m8.6106,2472,5843,3740,2647,8574,3339,3285,1653
plut2.m8.6107,1411,1861,653,723,1990,889,973,740
plut2.m8.6100,0,5,84,39,0,0,165,76
plut2.m8.6101,196,317,221,167,545,111,241,192
plut2.m8.6102,214,5263,8508,1541,1921,459,1872,420
plut2.m8.6103,16091,10570,3418,2721,9534,8904,10177,4795
plut2.m8.25033,21,0,12,17,0,0,0,0
plut2.m8.33363,923,1133,54,650,1118,870,251,515
plut2.m8.22026,108,123,154,28,221,25,0,46
plut2.m8.22027,298,332,282,344,314,210,62,232
plut2.m8.22025,5778,2314,320,462,3391,2509,3743,2244
jamg1.TU.Sc0000313.38,0,0,0,0,0,0,0,0
plut2.m8.32575,651,403,797,342,335,925,386,76
plut2.m8.32574,3444,4484,468,765,1871,701,914,339
plut2.m8.32577,0,0,0,0,0,0,0,0
plut2.m8.32576,0,0,0,0,0,0,5,0
plut2.m8.32571,250,500,213,229,420,25,115,89
plut2.m8.32570,4636,3948,1455,1311,2773,1355,1402,834
plut2.m8.32573,775,2425,2664,1197,3284,1500,1696,492
plut2.m8.32572,0,0,0,0,0,0,0,0
plut2.m8.32579,1249,5872,7331,2351,6265,1280,3205,887
jamg1.TU.Sc0000209.4,412,1040,229,303,629,205,387,135
jamg1.TU.Sc0000388.9,227,336,0,59,144,0,0,0
jamg1.TU.Sc0000388.6,157,815,152,284,0,0,697,0
plut2.m8.19931,56,260,168,86,506,56,70,76
plut2.m8.13992,350,1170,881,561,1493,487,585,293
jamg1.TU.Sc0000950.1,40,103,75,15,81,19,65,54
plut2.m8.13993,2559,1595,247,367,1251,941,911,734
plut2.m8.19934,12,6,18,13,22,49,56,16
jamg1.TU.Sc0000074.68,0,0,0,0,0,0,0,25
plut2.m8.11129,0,0,0,0,0,0,0,0
plut2.m8.11128,555,131,145,78,267,502,152,225
plut2.m8.11121,71,254,394,104,185,245,343,227
plut2.m8.11120,0,0,5,0,0,0,0,0
plut2.m8.11123,1426,1107,2628,794,2495,1054,3731,1209
plut2.m8.11122,801,1054,2013,432,1397,646,3378,237
plut2.m8.11125,347,886,1589,430,1255,436,2996,179
plut2.m8.11124,7,137,67,41,149,0,0,19
plut2.m8.11127,1286,1278,2491,862,2302,569,1344,294
plut2.m8.11126,398,2040,4986,650,3022,877,4853,367
plut2.m8.11693,0,0,0,0,13,0,0,0
plut2.m8.11692,0,0,41,8,0,0,11,101
plut2.m8.11691,0,16,154,51,116,0,0,4
plut2.m8.11690,413,689,233,121,741,387,629,275
plut2.m8.11697,22,77,487,42,118,75,171,297
plut2.m8.11696,0,18,156,48,72,113,51,35
plut2.m8.11695,13,363,315,140,299,9,64,20
plut2.m8.11694,0,0,0,0,0,0,0,0
plut2.m8.11699,0,0,30,144,0,0,35,0
plut2.m8.11698,8,4,50,43,54,22,961,12
plut2.m8.8414,2039,2145,1306,743,2296,1836,2904,1112
plut2.m8.8415,0,1,3,2,0,0,1,6
plut2.m8.8416,14829,26962,18970,20212,33605,11184,17053,12852
plut2.m8.8417,0,0,0,0,223,0,0,0
plut2.m8.8410,119,117,19,61,62,0,98,33
plut2.m8.8411,4348,13520,10826,5244,14319,4370,5661,4300
plut2.m8.8412,34,76,14,31,83,48,25,27
plut2.m8.8413,179,115,14,55,136,49,111,98
plut2.m8.8418,27260,27890,36800,11658,36776,24493,37411,14626
plut2.m8.8419,1687,4395,2169,1534,5364,1103,1662,1602
plut2.m8.3962,818,922,310,293,868,241,523,110
plut2.m8.3964,12,14,15,7,39,0,143,0
plut2.m8.12766,4,0,5,0,0,0,44,10
plut2.m8.12767,36,59,38,20,36,10,31,23
plut2.m8.12764,6167,19531,72738,11245,24516,5265,8937,6262
plut2.m8.12765,51,3,54,47,21,0,180,0
plut2.m8.12762,0,0,0,3,6,0,0,8
plut2.m8.12763,77,249,24859,146,279,80,83,0
plut2.m8.12760,13028,16102,6670,13121,31917,9631,28256,6481
plut2.m8.12761,4192,8255,11261,6913,13908,3737,5866,3924
jamg1.TU.Sc0000012.41,0,29,0,0,0,0,0,0
plut2.m8.12768,369,6,64,546,872,0,418,2
plut2.m8.12769,5136,11853,9153,4256,11493,3455,5481,2174
plut2.m8.16476,5567,4473,13337,5271,13480,5601,9342,4956
plut2.m8.16477,1919,6898,5112,2008,6365,1748,4066,1811
plut2.m8.16474,9224,10366,10786,3850,10217,4131,6088,4225
plut2.m8.16475,172,111,815,20,68,90,77,36
plut2.m8.16472,933,3692,5143,922,3649,851,1445,662
plut2.m8.16473,3892,4615,4527,1296,4443,2157,2377,2341
plut2.m8.6959,958,319,3120,153,2408,324,907,281
plut2.m8.16471,499,778,4476,495,32,1846,2015,3262
plut2.m8.6957,0,0,0,7,0,0,0,0
jamg1.TU.Sc0000076.28,1531,9558,16346,2114,8988,1600,3669,1158
plut2.m8.6954,16706,21329,4628,3992,9686,4934,5465,2976
plut2.m8.6953,9782,2462,3019,1052,4265,6677,7505,5007
plut2.m8.6952,374,1148,1102,493,1341,355,469,279
plut2.m8.16478,137,488,355,205,803,45,183,108
plut2.m8.16479,2266,9241,11975,2821,11324,1316,2480,785
jamg1.TU.Sc0000007.115,450,1258,313,547,797,124,207,158
plut2.m8.2221,13063,36568,27774,13512,40254,9182,8121,5642
plut2.m8.1639,12794,5676,4978,2231,5789,8498,8322,4034
plut2.m8.1638,3376,4246,3375,1334,3989,2326,2446,1655
plut2.m8.1633,55,0,0,12,23,27,0,0
plut2.m8.1632,7244,7379,4765,1861,7964,4249,6785,3495
plut2.m8.1631,437,707,188,370,549,358,957,235
plut2.m8.1630,0,4,95,313,0,0,0,7
plut2.m8.1637,0,60,33,31,76,0,0,0
plut2.m8.1636,2104,885,711,439,1545,1082,1534,706
plut2.m8.1635,218,1,1,0,1,87,1,0
plut2.m8.1634,1201,3806,2163,104,3716,1269,8572,568
plut2.m8.11414,317,979,261,420,1162,215,497,298
plut2.m8.11412,357,961,1291,504,1145,421,925,291
jamg1.TU.xfSc0000581.1,0,0,0,10,0,0,0,61
plut2.m8.23124,149,96,78,58,47,110,30,6
plut2.m8.23125,1046,272,402,12,221,518,78,255
plut2.m8.23127,510,1433,756,363,953,152,637,723
plut2.m8.23120,9,23,17,0,70,0,73,9
plut2.m8.23121,1,106,16,12,39,40,101,8
plut2.m8.23122,464,117,17,43,595,208,439,144
plut2.m8.23123,2,149,31,35,94,67,43,4
plut2.m8.23128,58,24,20,25,36,94,12,94
plut2.m8.23129,522,394,307,0,207,319,70,96
jamg1.TU.Sc0000010.44,11,179,175,118,323,65,44,24
plut2.m8.9428,0,0,85,7,0,408,125,0
plut2.m8.9427,191,11,63,4,0,0,0,0
plut2.m8.9424,0,0,0,0,0,0,0,0
plut2.m8.9425,223,596,173,413,581,214,297,424
plut2.m8.9423,0,0,0,4,9,0,0,0
plut2.m8.9420,0,2,0,1,0,0,18,0
plut2.m8.7774,1480,1524,767,412,1130,607,708,431
plut2.m8.7775,316,1147,303,154,591,254,145,139
plut2.m8.7776,58039,205653,147166,136118,284325,83295,104954,35598
plut2.m8.7777,1813,4927,6335,2623,8487,1817,3138,1723
plut2.m8.7770,311,1615,2014,894,2113,605,1275,419
plut2.m8.7771,121,1023,502,646,1002,940,847,409
plut2.m8.7772,104,914,48,184,1055,729,1156,418
plut2.m8.7773,27,140,102,55,147,50,144,87
plut2.m8.7778,2305,1397,2218,864,1667,2443,1448,1876
plut2.m8.7779,285,2010,2527,702,2272,480,721,621
jamg1.TU.Sc0000427.23,0,0,47,9,0,0,44,18
plut2.m8.11909,3292,8333,6032,4581,8343,2475,4756,2269
plut2.m8.11908,1375,4126,5697,2379,6557,2053,3438,1532
plut2.m8.11903,0,3591,2400,768,417,30,0,4533
